round,client_id,encrypt_time,plaintext_size,ciphertext_size,aggregate_time,broadcast_size
1,0,31.649381086230278,10725139,1772540361,93.74633841589093,10725139
1,1,30.20839076861739,10725139,1772542772,93.74633841589093,10725139
2,0,31.802016492933035,10725139,1772538534,91.43239225447178,10725139
2,1,30.29907064512372,10725139,1772551307,91.43239225447178,10725139
3,0,31.209335301071405,10725139,1772529251,86.7886812724173,10725139
3,1,29.74167400225997,10725139,1772532501,86.7886812724173,10725139
4,0,31.051555328071117,10725139,1772541168,88.54586520418525,10725139
4,1,29.591874964535236,10725139,1772548130,88.54586520418525,10725139
5,0,31.53408109396696,10725139,1772545971,88.46880595758557,10725139
5,1,29.37603659555316,10725139,1772535871,88.46880595758557,10725139
6,0,31.735913306474686,10725141,1772556278,85.68413515761495,10725139
6,1,30.33232118934393,10725139,1772526986,85.68413515761495,10725139
7,0,31.376650262624025,10725139,1772517260,88.92392003908753,10725139
7,1,29.292948555201292,10725139,1772527111,88.92392003908753,10725139
8,0,30.97474190965295,10725139,1772521032,85.42858659848571,10725139
8,1,29.408614329993725,10725139,1772539117,85.42858659848571,10725139
9,0,30.649424333125353,10725139,1772558651,83.60868551209569,10725139
9,1,29.590695288032293,10725139,1772514261,83.60868551209569,10725139
10,0,30.706702757626772,10725139,1772542834,85.72172409296036,10725141
10,1,29.187270656228065,10725139,1772529055,85.72172409296036,10725141
11,0,30.813665959984064,10725139,1772537053,86.30467590689659,10725139
11,1,29.043653808534145,10725139,1772523681,86.30467590689659,10725139
12,0,30.866981867700815,10725139,1772548870,90.09478880092502,10725139
12,1,29.7062953338027,10725139,1772534492,90.09478880092502,10725139
13,0,31.396852888166904,10725139,1772566294,90.00004611164331,10725141
13,1,29.97459841147065,10725141,1772564638,90.00004611164331,10725141
14,0,30.8781782053411,10725139,1772544582,89.63013427332044,10725139
14,1,29.425093609839678,10725139,1772536447,89.63013427332044,10725139
15,0,31.092820391058922,10725139,1772534287,87.40076395869255,10725139
15,1,29.31584069505334,10725141,1772545523,87.40076395869255,10725139
16,0,30.8729229234159,10725139,1772528282,86.25996826589108,10725139
16,1,29.34489579126239,10725139,1772505722,86.25996826589108,10725139
17,0,30.9946692250669,10725139,1772540880,90.54721593856812,10725141
17,1,29.99054767936468,10725143,1772518314,90.54721593856812,10725141
18,0,31.490606661885977,10725139,1772522026,93.79695259407163,10725139
18,1,30.21444918960333,10725139,1772547620,93.79695259407163,10725139
19,0,31.505592800676823,10725139,1772526461,91.99000769108534,10725139
19,1,30.131211671978235,10725141,1772551578,91.99000769108534,10725139
20,0,31.197553988546133,10725139,1772526419,90.9076439589262,10725141
20,1,29.468242038041353,10725141,1772532940,90.9076439589262,10725141
21,0,31.64039470627904,10725141,1772526550,94.36570356413722,10725141
21,1,30.41356584057212,10725139,1772559676,94.36570356413722,10725141
22,0,30.910285096615553,10725139,1772549546,85.99009733647108,10725139
22,1,29.476902578026056,10725139,1772537958,85.99009733647108,10725139
23,0,31.177553471177816,10725139,1772553867,84.5896519459784,10725139
23,1,29.22291238605976,10725139,1772524999,84.5896519459784,10725139
24,0,30.73770098015666,10725139,1772519404,82.25641357898712,10725139
24,1,29.472772635519505,10725139,1772534783,82.25641357898712,10725139
25,0,30.875020910054445,10725141,1772537183,83.01922514662147,10725139
25,1,29.451310638338327,10725139,1772557287,83.01922514662147,10725139
26,0,30.84238178282976,10725141,1772541947,84.4817712455988,10725139
26,1,29.1237322203815,10725139,1772546404,84.4817712455988,10725139
27,0,30.730540085583925,10725141,1772527749,82.73719977587461,10725139
27,1,29.06157884374261,10725139,1772521564,82.73719977587461,10725139
28,0,31.27536914125085,10725139,1772554503,82.94797433540225,10725139
28,1,29.424860756844282,10725139,1772521941,82.94797433540225,10725139
29,0,30.72606321796775,10725139,1772510018,85.4758164063096,10725139
29,1,29.122140280902386,10725139,1772552710,85.4758164063096,10725139
30,0,30.624069061130285,10725141,1772566069,85.5629197768867,10725139
30,1,29.08343881741166,10725139,1772556465,85.5629197768867,10725139
31,0,30.660332709550858,10725139,1772537027,84.90692303329706,10725139
31,1,29.257986180484295,10725139,1772555575,84.90692303329706,10725139
32,0,31.338659428060055,10725139,1772535202,86.76395234838128,10725139
32,1,29.69049844890833,10725139,1772549771,86.76395234838128,10725139
33,0,30.961002178490162,10725139,1772568944,85.33229639008641,10725139
33,1,29.45713045820594,10725139,1772534955,85.33229639008641,10725139
34,0,30.746329084038734,10725139,1772536549,85.45200058445334,10725141
34,1,29.15385292470455,10725139,1772554708,85.45200058445334,10725141
35,0,30.88902337104082,10725139,1772562527,85.10080306231976,10725139
35,1,29.520461954176426,10725139,1772548961,85.10080306231976,10725139
36,0,30.8875038549304,10725139,1772523400,84.68956796824932,10725139
36,1,29.357108630239964,10725139,1772534018,84.68956796824932,10725139
37,0,30.671124201267958,10725141,1772548509,85.99775068834424,10725141
37,1,29.344479020684958,10725139,1772529045,85.99775068834424,10725141
38,0,31.411260221153498,10725139,1772540498,83.42443592846394,10725139
38,1,29.646088521927595,10725139,1772519154,83.42443592846394,10725139
39,0,31.432534627616405,10725139,1772547404,81.91862985491753,10725139
39,1,29.13536312803626,10725139,1772538006,81.91862985491753,10725139
40,0,31.013811379671097,10725139,1772546619,82.33380901440978,10725139
40,1,29.09964356943965,10725139,1772521452,82.33380901440978,10725139
41,0,30.850268214941025,10725139,1772560985,86.03222528845072,10725139
41,1,29.169415444135666,10725139,1772542080,86.03222528845072,10725139
42,0,30.77313545718789,10725139,1772519775,82.63938227295876,10725141
42,1,29.23292963951826,10725139,1772527108,82.63938227295876,10725141
43,0,30.590226251631975,10725139,1772527272,81.35999793931842,10725139
43,1,28.999506518244743,10725139,1772547630,81.35999793931842,10725139
44,0,31.177180241793394,10725139,1772543851,84.28258260712028,10725139
44,1,29.430981393903494,10725141,1772541391,84.28258260712028,10725139
45,0,31.049747798591852,10725139,1772557480,84.30784162506461,10725141
45,1,29.342360217124224,10725139,1772535800,84.30784162506461,10725141
46,0,30.20388600230217,10725139,1772529478,83.5850976780057,10725141
46,1,29.333489824086428,10725139,1772546779,83.5850976780057,10725141
47,0,30.849329490214586,10725139,1772528525,81.51738639175892,10725139
47,1,29.028520852327347,10725139,1772516872,81.51738639175892,10725139
48,0,30.786853704601526,10725139,1772500192,82.931944206357,10725139
48,1,29.369772419333458,10725139,1772570231,82.931944206357,10725139
49,0,30.689181316643953,10725139,1772546461,80.17427067831159,10725141
49,1,29.21401299163699,10725141,1772555422,80.17427067831159,10725141
50,0,30.602308571338654,10725139,1772529344,85.1558461561799,10725139
50,1,29.41666666418314,10725139,1772539522,85.1558461561799,10725139
51,0,30.81289666891098,10725139,1772515865,84.45985867828131,10725139
51,1,29.184400275349617,10725139,1772551386,84.45985867828131,10725139
52,0,30.832770984619856,10725139,1772543601,84.3497974127531,10725139
52,1,29.49329687282443,10725139,1772576217,84.3497974127531,10725139
53,0,30.543801940977573,10725139,1772571878,85.26747226342559,10725139
53,1,29.32456437498331,10725139,1772531658,85.26747226342559,10725139
54,0,30.350530836731195,10725139,1772538828,84.37623059749603,10725139
54,1,29.4271818138659,10725139,1772514616,84.37623059749603,10725139
55,0,30.774482298642397,10725139,1772545018,80.91048068925738,10725141
55,1,29.5310822352767,10725139,1772532027,80.91048068925738,10725141
56,0,30.534219920635223,10725139,1772519597,85.12469586357474,10725139
56,1,29.301395792514086,10725141,1772528326,85.12469586357474,10725139
57,0,30.66223356127739,10725139,1772552795,84.37764436006546,10725139
57,1,29.000713754445314,10725139,1772554252,84.37764436006546,10725139
58,0,31.03235076740384,10725139,1772554621,83.03869727626443,10725141
58,1,29.580663289874792,10725139,1772544538,83.03869727626443,10725141
59,0,30.435032725334167,10725139,1772532157,82.13552526384592,10725139
59,1,29.41577350348234,10725139,1772541258,82.13552526384592,10725139
60,0,30.980450220406055,10725141,1772547948,81.19805469363928,10725139
60,1,29.269586458802223,10725141,1772524960,81.19805469363928,10725139
61,0,30.812846820801497,10725139,1772540119,81.91097366809845,10725139
61,1,29.130881041288376,10725139,1772532463,81.91097366809845,10725139
62,0,30.96177227795124,10725139,1772542857,82.81873961910605,10725139
62,1,29.50009936094284,10725139,1772532783,82.81873961910605,10725139
63,0,31.25668704137206,10725139,1772534314,82.29561204835773,10725139
63,1,28.9859501644969,10725141,1772504857,82.29561204835773,10725139
64,0,30.59679814428091,10725139,1772529903,82.5202118307352,10725139
64,1,29.638612553477287,10725141,1772566610,82.5202118307352,10725139
65,0,30.663118343800306,10725139,1772570015,82.35750936716795,10725139
65,1,29.132737074047327,10725139,1772556897,82.35750936716795,10725139
66,0,30.714261908084154,10725139,1772528465,82.69440347328782,10725139
66,1,28.710376486182213,10725139,1772533399,82.69440347328782,10725139
67,0,30.59475100785494,10725139,1772547751,85.46506430953741,10725139
67,1,29.351673264056444,10725139,1772532896,85.46506430953741,10725139
68,0,31.12402931600809,10725139,1772579683,84.45372126251459,10725139
68,1,29.066148780286312,10725139,1772517873,84.45372126251459,10725139
69,0,30.45583676546812,10725139,1772516758,83.52038110420108,10725139
69,1,29.46898001804948,10725139,1772537470,83.52038110420108,10725139
70,0,31.074181091040373,10725139,1772549832,84.58095872402191,10725139
