round,client_id,steps,mean_loss,token_weighted_mean_loss,min_loss,max_loss,final_loss,final_moving_avg_loss,perplexity,supervised_tokens,mean_step_time,train_time
1,0,60,3.350717738767465,2.079857749556149,0.31667187809944153,7.043887138366699,2.3393616676330566,3.350717738767465,8.003330356022634,1311,0.6651856813579797,39.93675669655204
1,1,60,3.646603539089362,2.265386873431373,0.3027646541595459,8.12407112121582,2.0266106128692627,3.646603539089362,9.634851348175927,1368,0.6640411082655191,39.8661635145545
2,0,60,1.4012373300890129,1.1820119134506877,0.1397286057472229,3.690011978149414,0.7393283247947693,2.375977534428239,3.2609283130624345,1296,0.6638825054590901,39.858328588306904
2,1,60,1.2846330712238947,1.3135250873005833,0.32800236344337463,3.533493757247925,0.41802552342414856,2.4656183051566285,3.7192613520809075,1103,0.6664005511129896,40.0094130448997
3,0,60,1.2948272075504064,1.2623025399963719,0.10550340265035629,4.037951469421387,0.47271767258644104,2.015594092135628,3.533548263867608,1089,0.6632218231136601,39.817471254616976
3,1,60,1.5138488429288068,1.9218322885983523,0.13392716646194458,4.201965808868408,0.6022579669952393,2.1483618177473547,6.833467890659135,1693,0.6664984048654635,40.014005586504936
4,0,60,1.257130932311217,1.3077253748829654,0.14443334937095642,3.49617075920105,2.2604100704193115,1.8259783021795253,3.69775313685303,1384,0.6640207885454098,39.86722495406866
4,1,60,1.2101218963662783,1.1617910316632594,0.20085787773132324,3.637042760848999,1.2541124820709229,1.9138018374020855,3.1956516669983412,1099,0.6629768897468845,39.80193579941988
5,0,60,1.0013402060916026,0.9418812174650623,0.10348597913980484,4.1479411125183105,1.6682395935058594,1.6610506829619407,2.564801832785988,1388,0.6630287410070499,39.807297736406326
5,1,60,1.3874835059046746,1.462591029476696,0.14270836114883423,3.8010339736938477,0.7492946982383728,1.8085381711026032,4.317130862787191,1576,0.6661639909570416,39.99388683959842
6,0,60,1.1888264402747155,1.2171679132165965,0.27444976568222046,2.641289472579956,1.1443088054656982,1.2286724232633908,3.377608495028241,1026,0.6633481585731109,39.83232320100069
6,1,60,1.2463359206914901,1.6161002045602941,0.22259792685508728,3.6000149250030518,1.6481916904449463,1.328484647423029,5.033422672810736,1675,0.6630758494138718,39.80744254589081
7,0,60,1.3296951785683633,1.3485753779041134,0.13311178982257843,2.935253381729126,2.127289056777954,1.214363992959261,3.8519340696098734,1301,0.6623650258406997,39.76702598109841
7,1,60,1.119423507899046,1.3702938526946362,0.17391479015350342,3.292428493499756,2.279200792312622,1.2954427347580593,3.9365072788009168,1153,0.6620932491496205,39.748324394226074
8,0,60,1.105185184876124,0.9838690025912177,0.14594267308712006,3.163642168045044,1.7664471864700317,1.1764355884244044,2.674784998141487,1116,0.6625654945770899,39.77886486798525
8,1,60,1.1542928154269854,1.1362145538880215,0.09715397655963898,3.2903101444244385,0.8600081205368042,1.223531529257695,3.114954526467325,1519,0.6664686173200607,40.0139991864562
9,0,60,0.9908499079445998,0.8666886358207317,0.12296433746814728,3.2418670654296875,0.49325716495513916,1.123179383551081,2.37901999438931,1507,0.6631394469489654,39.814247626811266
9,1,60,1.1679514447848003,1.2990806189238968,0.18096193671226501,3.4019546508789062,1.0774530172348022,1.2150974389413993,3.6659247359830083,1051,0.6646441955740253,39.90237368643284
10,0,60,1.0932759714623292,1.1098266330080366,0.17816269397735596,2.9153378009796143,0.4534052908420563,1.1415665366252263,3.0338323824461693,1453,0.6616187825798988,39.7187838666141
10,1,60,1.2415598074595133,1.0940957392740056,0.09059648215770721,3.905268430709839,1.3704320192337036,1.185912699252367,2.986480904630262,1230,0.6630201046044628,39.804514929652214
11,0,60,1.2383573055267334,1.4423571730900915,0.18050095438957214,3.6904842853546143,2.2824175357818604,1.1514727096756299,4.230656462468573,1124,0.6622186639035742,39.756498761475086
11,1,60,1.088847268000245,1.048162271258356,0.0830327644944191,3.73846435546875,1.8960318565368652,1.154414968714118,2.8524043530120107,1084,0.6629712278644244,39.7999537140131
12,0,60,1.2062101282179356,1.640005130871596,0.12685289978981018,3.4852066040039062,1.4178293943405151,1.1267756996055445,5.155195962815361,1143,0.6614820152521134,39.71376635879278
12,1,60,1.1962104171514512,1.751558084661762,0.15647251904010773,3.8500077724456787,3.8500077724456787,1.169772350564599,5.7635758228156675,2040,0.6656131214772661,39.95928992331028
13,0,60,1.107456026164194,1.1751163071483068,0.05642117187380791,3.418365478515625,0.21114477515220642,1.1272298678631585,3.2385195849121686,1271,0.661644030486544,39.720545414835215
13,1,60,1.1315337406781814,1.1757887380999825,0.024295596405863762,3.4143290519714355,0.3837974965572357,1.1652205356148382,3.2406979980527986,1363,0.6651177298277616,39.9296934902668
14,0,60,1.0039073626200359,1.0300096660462725,0.15217170119285583,3.6036863327026367,1.349335789680481,1.1298413587982457,2.8010929100619055,1453,0.6616495591277878,39.72088939324021
14,1,60,0.9688826765865087,1.2891970734057976,0.08774029463529587,3.8070900440216064,2.2002363204956055,1.1254067819751798,3.6298708655153935,1104,0.664275477702419,39.877806797623634
15,0,60,0.9654879125456015,1.204250933678634,0.09082979708909988,3.648857355117798,1.1477386951446533,1.1042837470149,3.334260560114175,1956,0.6617391121263305,39.72717412561178
15,1,60,1.285740128532052,1.634002861473404,0.11104468256235123,3.547579765319824,1.4987716674804688,1.1342428461896876,5.124345766062579,1525,0.6645788713047902,39.89588451385498
16,0,60,1.0710503223041694,1.1277873052106933,0.1364041566848755,3.9137072563171387,0.33997440338134766,1.0708223503703873,3.0888143297264117,1293,0.6579597578694423,39.496890500187874
16,1,60,1.065369048466285,1.2800232362698554,0.16688065230846405,2.994840621948242,0.18674525618553162,1.1295472022828956,3.5967232990314812,1348,0.6649493403111895,39.9190251044929
17,0,60,0.9880367273464798,1.2994018352996264,0.0322609506547451,2.8985235691070557,0.21600428223609924,1.027187670196096,3.667102480185634,1205,0.6511242729301254,39.0897467918694
17,1,60,1.2611313459773859,1.1976816463558113,0.16030177474021912,3.65497088432312,1.2001641988754272,1.1425313880480825,3.3124286331002977,1156,0.6637143950909377,39.84393524751067
18,0,60,1.0204832209895054,1.1142490761997426,0.09361844509840012,3.23310923576355,0.8806630969047546,1.0097931091611585,3.047279045446497,904,0.6536087372029821,39.23959743231535
18,1,60,0.9746556761364142,1.3630570995655193,0.1352083384990692,2.6126797199249268,0.44873079657554626,1.1111557751397292,3.9081225778468545,1212,0.6633006398876508,39.81871985271573
19,0,60,1.218141779055198,1.2295260324464539,0.11446522176265717,3.9650604724884033,0.7998867630958557,1.0526399924481908,3.4196083687170016,1051,0.6612134572118521,39.69450434669852
19,1,60,1.0269949682056905,1.4287077574045757,0.027856551110744476,3.779622793197632,0.12343554943799973,1.1227782334635654,4.173302786317522,1779,0.6642491128916542,39.87557415291667
20,0,60,1.071539074430863,1.1077476419732535,0.03445693850517273,4.114665508270264,1.8760052919387817,1.073850224825243,3.027531624001618,1596,0.6603771559894085,39.64305156469345
