round,client_id,step,loss,loss_moving_avg,perplexity,supervised_tokens,loss_sum,global_grad_norm,learning_rate,step_time,supervised_tokens_per_second
1,0,0,5.420730113983154,5.420730113983154,226.04410022681785,5,27.10365056991577,6.975634698314625,6.666666666666667e-07,0.8518851138651371,5.869336039121768
1,0,1,2.9398539066314697,4.180292010307312,18.913083034401883,19,55.857224225997925,1.7117964465916733,1.3333333333333334e-06,0.6572929136455059,28.90644278305298
1,0,2,3.560004711151123,3.973529577255249,35.163362804632555,8,28.480037689208984,2.746285470345588,2.0000000000000003e-06,0.6595688126981258,12.129136256873736
1,0,3,3.4802119731903076,3.8502001762390137,32.46660339601064,9,31.32190775871277,2.9954361277777695,2.666666666666667e-06,0.6652479954063892,13.528789356970622
1,0,4,2.8281540870666504,3.645790958404541,16.91420983142332,10,28.281540870666504,3.035132165926359,3.3333333333333333e-06,0.6572314947843552,15.215339008184793
1,0,5,6.210721969604492,4.073279460271199,498.0607062045027,5,31.05360984802246,5.288826733834575,4.000000000000001e-06,0.660403985530138,7.571123296577714
1,0,6,7.043887138366699,4.497651985713413,1145.8329724646198,5,35.219435691833496,4.241723114036259,4.666666666666666e-06,0.6563910283148289,7.617410635298658
1,0,7,3.2014875411987305,4.335631430149078,24.569050502481783,17,54.42528820037842,1.597262458310932,5.333333333333334e-06,0.6585292592644691,25.81510200319391
1,0,8,6.658082485198975,4.593681547376844,779.0556532245791,5,33.29041242599487,9.053782729203915,6e-06,0.6609446480870247,7.564930005064001
1,0,9,2.1407949924468994,4.34839289188385,8.50619730419337,85,181.96757435798645,0.6827741298604164,6.666666666666667e-06,0.6566966436803341,129.43571558951987
1,0,10,4.274900436401367,4.341711759567261,71.872983020578,9,38.474103927612305,2.267774100941559,7.333333333333334e-06,0.6577683947980404,13.68262761053355
1,0,11,2.038177728652954,4.149750590324402,7.676607583340522,16,32.610843658447266,1.638144902622258,8.000000000000001e-06,0.6590284816920757,24.278161634106482
1,0,12,4.194618225097656,4.153201946845422,66.32840422288355,13,54.53003692626953,2.1840138941790124,8.666666666666668e-06,0.6574052534997463,19.774712676531745
1,0,13,3.2020576000213623,4.085263064929417,24.58306029930916,12,38.42469120025635,3.2969901744892267,9.333333333333333e-06,0.6670960746705532,17.988413446933
1,0,14,3.7279603481292725,4.061442883809407,41.594183930469875,12,44.73552417755127,3.09924883903474,1e-05,0.6633821427822113,18.08912122607377
1,0,15,1.4078320264816284,3.8955922052264214,4.087085099989177,83,116.85005819797516,0.7826864147026386,1.0666666666666667e-05,0.6595782451331615,125.83798906715491
1,0,16,4.2922773361206055,3.9189266246907852,73.13282702918599,5,21.461386680603027,3.912921317891713,1.1333333333333334e-05,0.658366970717907,7.594548667208837
1,0,17,3.649644136428833,3.90396648645401,38.46097675287783,10,36.49644136428833,2.8321520177047548,1.2e-05,0.6610241383314133,15.128040596584638
1,0,18,3.2866570949554443,3.871476518480401,26.753280329274745,18,59.159827709198,1.934884572498086,1.2666666666666667e-05,0.6628608144819736,27.15502199970444
1,0,19,1.9342647790908813,3.774615931510925,6.918955224349822,19,36.751030802726746,1.2494028745897614,1.3333333333333333e-05,0.6568828262388706,28.92448887541899
1,0,20,3.9606399536132812,3.7834742182777044,52.4909069483781,6,23.763839721679688,5.468006111514557,1.4000000000000001e-05,0.6596567742526531,9.095639178112886
1,0,21,4.209646224975586,3.802845673127608,67.3327149631672,6,25.257877349853516,5.646730544490675,1.4666666666666668e-05,0.6601573266088963,9.088742574169205
1,0,22,0.5950393676757812,3.663375833760137,1.8131023211795279,54,32.13212585449219,0.5979397018853769,1.5333333333333334e-05,0.6639599651098251,81.33020488828404
1,0,23,2.7274551391601562,3.6243791381518045,15.29391656439364,26,70.91383361816406,1.709400726925673,1.6000000000000003e-05,0.6662040837109089,39.02707989295722
1,0,24,3.4088613986968994,3.615758428573608,30.230803823531,7,23.862029790878296,4.28072325972613,1.6666666666666667e-05,0.6602290458977222,10.602381163770229
1,0,25,2.1190531253814697,3.5581928399892955,8.323252678609016,88,186.47667503356934,0.6584417013140064,1.7333333333333336e-05,0.6640738844871521,132.5153752552101
1,0,26,3.8151888847351074,3.567711212016918,45.385328169070974,8,30.52151107788086,4.29106641805368,1.8e-05,0.6620137318968773,12.084341478956164
1,0,27,5.04885721206665,3.6206092834472656,155.84426573773177,5,25.244286060333252,6.709606111360017,1.8666666666666665e-05,0.6700653918087482,7.461958282165859
1,0,28,5.913278579711914,3.699666845387426,369.91697172444555,4,23.653114318847656,7.559040109071561,1.9333333333333333e-05,0.6531169600784779,6.124477305748367
1,0,29,4.716534614562988,3.733562437693278,111.780219169657,4,18.866138458251953,5.995102996627909,2e-05,0.6623928174376488,6.038712822209189
1,0,30,1.4309501647949219,3.6592846224384923,4.182671531673815,19,27.188053131103516,1.560773662809989,2.066666666666667e-05,0.6612669639289379,28.732722238399628
1,0,31,4.68971586227417,3.6914855986833572,108.82225490612974,5,23.44857931137085,5.580926030244229,2.1333333333333335e-05,0.6609932370483875,7.564373914515525
1,0,32,5.609224319458008,3.749598893252286,272.93244748569066,4,22.43689727783203,8.400404943037417,2.2e-05,0.6600113473832607,6.060501862367599
1,0,33,3.166912078857422,3.732461045770084,23.734082110631974,45,142.51104354858398,1.640353835182816,2.2666666666666668e-05,0.6787464395165443,66.29869032101661
1,0,34,2.326799154281616,3.692299277441842,10.245096022642256,47,109.35956025123596,1.0998785831981541,2.3333333333333332e-05,0.664780355989933,70.70004336998149
1,0,35,4.9528489112854,3.727314545048608,141.577732322715,8,39.6227912902832,4.916075227951981,2.4e-05,0.6625239849090576,12.075034537954323
1,0,36,5.598476886749268,3.7778865002297066,270.0148309000513,4,22.39390754699707,10.189513264585843,2.466666666666667e-05,0.6583999507129192,6.075334598170576
1,0,37,3.699383497238159,3.775820631729929,40.422376170158905,5,18.496917486190796,6.919740184583233,2.5333333333333334e-05,0.6608330681920052,7.566207323249825
1,0,38,6.980485916137695,3.8579915364583335,1075.4408140994599,4,27.92194366455078,9.90282424942345,2.6000000000000002e-05,0.662282682955265,6.039717031632226
1,0,39,1.778529167175293,3.8060049772262574,5.921141002156376,16,28.456466674804688,2.069953675633578,2.6666666666666667e-05,0.6509547792375088,24.579280328414647
1,0,40,2.8010377883911133,3.7814935823766196,16.461721693157518,9,25.20934009552002,4.765381300749511,2.7333333333333335e-05,0.6611001528799534,13.613671031224637
1,0,41,3.135972499847412,3.766124032792591,23.011003161227816,8,25.087779998779297,7.165040569341412,2.8000000000000003e-05,0.670244425535202,11.935944105184998
1,0,42,3.530890941619873,3.760653495788574,34.15438362517038,9,31.778018474578857,4.671204731711058,2.8666666666666668e-05,0.6658643148839474,13.516267201627404
1,0,43,6.704815864562988,3.8275662768970835,816.3276976151537,4,26.819263458251953,16.355840793204347,2.9333333333333336e-05,0.6631440334022045,6.031872110012568
1,0,44,1.4620288610458374,3.774998778767056,4.314704590155085,16,23.3924617767334,2.976679738157431,3.0000000000000004e-05,0.6665400862693787,24.004557759686914
