round,client_id,encrypt_time,plaintext_size,ciphertext_size,aggregate_time,broadcast_size
1,0,787.872781123966,10725139,16260765679,668.1850831657648,10725139
1,1,763.0419078469276,10725139,16260769051,668.1850831657648,10725139
2,0,843.7398790791631,10725139,16260793078,746.083707306534,10725139
2,1,813.565437041223,10725139,16260753585,746.083707306534,10725139
3,0,800.9143921583891,10725139,16260792845,706.1523946113884,10725139
3,1,786.0363389924169,10725139,16260848401,706.1523946113884,10725139
4,0,145.3481600396335,10725139,16260762656,105.60752555727959,10725139
4,1,144.76050560548902,10725139,16260799544,105.60752555727959,10725139
5,0,145.77890321612358,10725139,16260789575,102.07899974659085,10725139
5,1,144.43683718889952,10725139,16260743438,102.07899974659085,10725139
6,0,145.00723727047443,10725139,16260747160,101.98256668448448,10725139
6,1,143.39122422412038,10725139,16260806421,101.98256668448448,10725139
7,0,146.0365583524108,10725139,16260742993,105.00518957525492,10725141
7,1,143.7526817023754,10725139,16260739874,105.00518957525492,10725141
8,0,144.6156772337854,10725139,16260813716,102.8279401883483,10725139
8,1,144.1292054131627,10725139,16260779033,102.8279401883483,10725139
9,0,145.70946541801095,10725139,16260788632,104.81069397553802,10725139
9,1,144.23621609434485,10725139,16260758705,104.81069397553802,10725139
10,0,145.80574576556683,10725139,16260774287,102.30382969975471,10725139
10,1,143.46398194879293,10725141,16260720124,102.30382969975471,10725139
11,0,144.6861909404397,10725139,16260817121,101.72167224809527,10725139
11,1,142.530917737633,10725139,16260729433,101.72167224809527,10725139
12,0,145.518685746938,10725139,16260799451,103.14787893369794,10725139
12,1,144.9736356548965,10725139,16260813281,103.14787893369794,10725139
13,0,145.2852759025991,10725139,16260770603,102.90233194082975,10725139
13,1,143.921669755131,10725139,16260761464,102.90233194082975,10725139
14,0,146.70492946356535,10725139,16260788650,108.40281783416867,10725143
14,1,145.27122585102916,10725139,16260808764,108.40281783416867,10725143
15,0,145.9131242930889,10725139,16260787298,105.44054662808776,10725139
15,1,144.46242487430573,10725139,16260751436,105.44054662808776,10725139
16,0,144.46555437892675,10725141,16260765111,103.22129077836871,10725139
16,1,144.00861153379083,10725139,16260794713,103.22129077836871,10725139
17,0,144.4107693657279,10725139,16260776821,103.0338887013495,10725139
17,1,144.3964933976531,10725139,16260826430,103.0338887013495,10725139
18,0,145.15715270116925,10725139,16260768245,105.78032121807337,10725139
18,1,143.77189733833075,10725139,16260764298,105.78032121807337,10725139
19,0,145.01803528517485,10725139,16260786108,102.41498719900846,10725139
19,1,143.37748601660132,10725139,16260768445,102.41498719900846,10725139
20,0,145.03388767689466,10725139,16260794242,101.54286206513643,10725141
20,1,144.29880115017295,10725139,16260777985,101.54286206513643,10725141
