round,client_id,steps,mean_loss,token_weighted_mean_loss,min_loss,max_loss,final_loss,final_moving_avg_loss,perplexity,supervised_tokens,mean_step_time,train_time
1,0,300,1.358588760048151,1.2947308035325102,0.14521750807762146,5.500515460968018,1.01382577419281,1.314165795594454,3.6500132711982287,6934,1.328684272368749,401.80814487859607
1,1,300,1.3605535071591537,1.4697661683176,0.08297596871852875,6.007823944091797,2.290776252746582,1.2478000082075595,4.348218270985407,6097,1.2921793403103947,390.4917846620083
2,0,300,1.1929141270369292,1.2063307167904855,0.08348695933818817,3.904799461364746,0.39374059438705444,0.9702087759971618,3.3412023150877816,6562,1.2741417286669214,385.96712036058307
2,1,300,1.1821345259497562,1.3607396061784465,0.06261684000492096,3.9921116828918457,0.8526622653007507,1.2282098636031151,3.89907601633898,6841,1.2860560291136305,388.90881810709834
3,0,300,1.1431003937125206,1.2733286447876517,0.0442928820848465,4.023898124694824,0.7701696753501892,1.4335293278098107,3.572725124485619,6549,1.3350537345185876,403.5145845524967
3,1,300,1.1409500953555107,1.2814110834105115,0.09538407623767853,4.198705673217773,1.2727688550949097,1.2849969625473023,3.601718466640541,6424,1.339832063515981,404.9490492939949
4,0,300,1.0433170844987034,1.149796547058401,0.03902052715420723,3.8735573291778564,0.8008508682250977,0.9766830608248711,3.1575504314114182,6458,1.3173007632543643,397.78786754235625
4,1,300,1.0848539740157623,1.0731807414340828,0.027860620990395546,4.203985214233398,0.7408027052879333,1.2718116231262684,2.924667331613604,6131,1.3264992789924144,401.28754065558314
5,0,300,1.0558746900285283,1.1306627990917908,0.046313297003507614,4.431130886077881,0.36011040210723877,1.1292297273874283,3.0977089785567724,5457,1.3019566823293764,393.34418423473835
5,1,300,1.0847564404457808,1.2070049359342485,0.057881273329257965,3.9415674209594727,1.5823543071746826,1.1857108771800995,3.3434557772300937,6020,1.315114673189819,398.10408003255725
6,0,300,1.0533552144592007,1.2810213372662764,0.04667757824063301,4.9265456199646,0.19862519204616547,1.0726435661315918,3.6003149842742337,6107,1.281569964600106,387.70399962738156
6,1,300,1.0312006181602678,1.2646380891877942,0.05034962669014931,3.7984049320220947,1.0256187915802002,1.1446219950914382,3.5418106845472908,6708,1.310261074764033,395.8198899962008
7,0,300,1.0109931993236145,1.1081725959059743,0.04814489930868149,4.332915306091309,1.5536690950393677,0.953938902169466,3.028818458875079,6144,1.3082197521378596,395.20924980938435
7,1,300,0.9244757775217295,1.1066020246999926,0.05149485543370247,3.775895595550537,0.467698872089386,0.8778761275112629,3.024065217444553,6341,1.298704608504971,392.7235006839037
8,0,300,0.9594027333706617,1.1751286025336027,0.030773703008890152,4.771427154541016,2.2059199810028076,0.9969752445816994,3.2385594040030483,6731,1.3067472363760073,394.9220811165869
8,1,300,0.9727257267882427,1.35257191870083,0.03580305725336075,3.8713951110839844,1.2109689712524414,0.9371344618499279,3.867359284484213,7168,1.291884535079201,390.56274458765984
