round,client_id,step,loss,loss_moving_avg,perplexity,supervised_tokens,loss_sum,global_grad_norm,learning_rate,step_time,supervised_tokens_per_second
1,0,0,4.367587566375732,4.367587566375732,78.85317401030436,5,21.837937831878662,3.4091956185023697,0.0002,0.8160305079072714,6.127221901081386
1,0,1,2.5471577644348145,3.4573726654052734,12.770754657662778,19,48.395997524261475,1.304862078570731,0.0002,0.5076603125780821,37.42660107407481
1,0,2,3.152334213256836,3.3556931813557944,23.390599555618973,8,25.218673706054688,2.151524898607625,0.0002,0.5076098684221506,15.760134894278394
1,0,3,2.5628840923309326,3.157490909099579,12.973179258806182,9,23.065956830978394,3.0616429269532532,0.0002,0.5092523489147425,17.672967084353605
1,0,4,1.8176724910736084,2.8895272254943847,6.157510098684212,10,18.176724910736084,3.145598674204513,0.0002,0.5117217842489481,19.541868858831087
1,0,5,3.567577838897705,3.002535661061605,35.43067034266152,5,17.837889194488525,11.009914271759511,0.0002,0.5082071758806705,9.838507280688267
1,0,6,4.937089443206787,3.2789004870823453,139.36403175741685,5,24.685447216033936,7.412331012022642,0.0002,0.5086280182003975,9.83036683211191
1,0,7,2.1440939903259277,3.137049674987793,8.534305570120582,17,36.44959783554077,2.1865408592496687,0.0002,0.508631581440568,33.42301308120089
1,0,8,2.3883070945739746,3.053856054941813,10.895034059755918,5,11.941535472869873,19.716814990043126,0.0002,0.4853300154209137,10.302268232191727
1,0,9,1.951486349105835,2.9436190843582155,7.03914243194461,85,165.87633967399597,0.9115498389835467,0.0002,0.5091069042682648,166.9590400117826
1,0,10,2.1970834732055664,2.8757522106170654,8.9987301524166,9,19.773751258850098,5.222772402615566,0.0002,0.5180125571787357,17.374096197622922
1,0,11,0.9587290287017822,2.716000278790792,2.608379190697859,16,15.339664459228516,4.248123917379623,0.0002,0.5248334370553493,30.485862504817174
1,0,12,2.945777416229248,2.7336754432091346,19.02544733021941,13,38.295106410980225,4.683610385178038,0.0002,0.5083907302469015,25.570883233229903
1,0,13,1.7928944826126099,2.6664768031665256,6.006813946536081,12,21.51473379135132,4.02698795905241,0.0002,0.5095718912780285,23.549179625868838
1,0,14,1.7103191614151,2.6027329603830975,5.530726390424288,12,20.5238299369812,8.260945683177361,0.0002,0.5064145717769861,23.696000606563384
1,0,15,1.1343486309051514,2.5109589397907257,3.109147680474285,83,94.15093636512756,1.0010493349967275,0.0002,0.5037683192640543,164.75827642606257
1,0,16,0.32182034850120544,2.3821860814795777,1.3796368998554052,5,1.6091017425060272,2.9138179500838244,0.0002,0.5099314749240875,9.805239028919209
1,0,17,0.6028517484664917,2.2833341740899615,1.8273224410959523,10,6.028517484664917,4.753695160068952,0.0002,0.5073750130832195,19.709287493745386
1,0,18,2.049957752227783,2.271051204518268,7.7675729367224955,18,36.8992395401001,8.342769548869798,0.0002,0.5047576278448105,35.66067951633643
1,0,19,0.8450847268104553,2.1997528806328774,2.3281750650613584,19,16.05660980939865,4.405916684630505,0.0002,0.509453859180212,37.29483967512556
1,0,20,0.60785973072052,2.0117664888501166,1.836496592272612,6,3.64715838432312,5.7860366356837245,0.0002,0.5141526330262423,11.669686421101652
1,0,21,0.6455612182617188,1.916686661541462,1.9070570042160044,6,3.8733673095703125,7.487130425651446,0.0002,0.5081821493804455,11.806790158440139
1,0,22,0.18321655690670013,1.768230778723955,1.2010744808938314,54,9.893694072961807,0.7574984927645868,0.0002,0.5080722011625767,106.28410662192613
1,0,23,1.7599875926971436,1.7280859537422657,5.812365278178887,26,45.75967741012573,3.935959271222036,0.0002,0.5079566556960344,51.18546968219788
1,0,24,0.4752840995788574,1.6609665341675282,1.608471098541711,7,3.326988697052002,4.768734241643055,0.0002,0.5035725515335798,13.900678221404643
1,0,25,1.8247895240783691,1.5738271184265613,6.201489617489155,88,160.58147811889648,1.01664792995256,0.0002,0.5089126303792,172.91769696191193
1,0,26,1.8678395748138428,1.4203646250069142,6.474294051289334,8,14.942716598510742,5.146769282336172,0.0002,0.5097965095192194,15.6925358464001
1,0,27,0.2786840796470642,1.327094129472971,1.3213898239819384,5,1.393420398235321,3.1141701773271304,0.0002,0.5097677037119865,9.808389122322563
