round,client_id,step,loss,loss_moving_avg,perplexity,supervised_tokens,loss_sum,global_grad_norm,learning_rate,step_time,supervised_tokens_per_second
1,0,0,5.420730113983154,5.420730113983154,226.04410022681785,5,27.10365056991577,6.975634698314625,6.666666666666667e-07,0.8640141598880291,5.786942196234341
1,0,1,2.9398539066314697,4.180292010307312,18.913083034401883,19,55.857224225997925,1.7117964465916733,1.3333333333333334e-06,0.6559886708855629,28.963914840710025
1,0,2,3.560004711151123,3.973529577255249,35.163362804632555,8,28.480037689208984,2.746285470345588,2.0000000000000003e-06,0.6574267260730267,12.168656494672783
1,0,3,3.4802119731903076,3.8502001762390137,32.46660339601064,9,31.32190775871277,2.995436048355168,2.666666666666667e-06,0.664875153452158,13.536375894437162
1,0,4,2.828152656555176,3.645790672302246,16.914185635469376,10,28.281526565551758,3.0351276172975257,3.3333333333333333e-06,0.6564298607409,15.233920024164025
1,0,5,6.21071720123291,4.073278427124023,498.05833127164743,5,31.05358600616455,5.28882028976492,4.000000000000001e-06,0.6571677513420582,7.608407426854216
1,0,6,7.043889045715332,4.497651372637067,1145.8351579696575,5,35.21944522857666,4.241718785526577,4.666666666666666e-06,0.6569615676999092,7.610795282143399
1,0,7,3.201486587524414,4.335630774497986,24.569027071620514,17,54.42527198791504,1.5972611388052842,5.333333333333334e-06,0.6562150456011295,25.90614176550471
1,0,8,6.6580939292907715,4.593682236141628,779.0645688600051,5,33.29046964645386,9.053796041025846,6e-06,0.6611638925969601,7.562421444947173
1,0,9,2.140796661376953,4.348393678665161,8.50621150045354,85,181.96771621704102,0.6827741684128343,6.666666666666667e-06,0.6607541106641293,128.64089474156404
1,0,10,4.274904251098633,4.341712821613658,71.87325719477275,9,38.474138259887695,2.267775666742238,7.333333333333334e-06,0.6574158892035484,13.689964218697838
1,0,11,2.038180351257324,4.149751782417297,7.676627716071518,16,32.61088562011719,1.6381440325787062,8.000000000000001e-06,0.6599064655601978,24.245860337824578
1,0,12,4.1946187019348145,4.153203083918645,66.32843585073886,13,54.53004312515259,2.1840151044836755,8.666666666666668e-06,0.658715158700943,19.735389156122345
1,0,13,3.2020578384399414,4.085264137813023,24.583066160368165,12,38.4246940612793,3.2969807163129996,9.333333333333333e-06,0.6670118197798729,17.990685688238983
1,0,14,3.7279624938964844,4.061444028218587,41.594273182001714,12,44.73554992675781,3.0992517156006225,1e-05,0.6628518775105476,18.10359208013113
1,0,15,1.4078311920166016,3.895593225955963,4.087081689461022,83,116.84998893737793,0.7826853996585325,1.0666666666666667e-05,0.6592247299849987,125.90547081249325
1,0,16,4.292281150817871,3.9189278097713696,73.1331060093134,5,21.461405754089355,3.9129223746845985,1.1333333333333334e-05,0.6565261520445347,7.615842848649891
1,0,17,3.649639844894409,3.903967367278205,38.460811696626294,10,36.49639844894409,2.8321455488780787,1.2e-05,0.6593459062278271,15.166545974647562
1,0,18,3.2866554260253906,3.8714772651070044,26.753235679958426,18,59.15979766845703,1.9348843008915746,1.2666666666666667e-05,0.6631330102682114,27.143875695042997
1,0,19,1.934267520904541,3.774616777896881,6.918974194861773,19,36.75108289718628,1.2494027212032124,1.3333333333333333e-05,0.6597802527248859,28.797466916492557
1,0,20,3.9606380462646484,3.7834749335334417,52.49080683001397,6,23.76382827758789,5.467999296516001,1.4000000000000001e-05,0.6606478877365589,9.081993769111346
1,0,21,4.209640979766846,3.8028461174531416,67.33236178994841,6,25.257845878601074,5.6467277758792855,1.4666666666666668e-05,0.6627558916807175,9.053106996581025
1,0,22,0.5950396060943604,3.663376269133195,1.8131027534568585,54,32.13213872909546,0.5979391422598722,1.5333333333333334e-05,0.6683172136545181,80.79995381940726
1,0,23,2.7274551391601562,3.624379555384318,15.29391656439364,26,70.91383361816406,1.7094012298529702,1.6000000000000003e-05,0.6650501973927021,39.094793298207826
1,0,24,3.408863067626953,3.6157588958740234,30.230854276670154,7,23.862041473388672,4.280723842420783,1.6666666666666667e-05,0.6587794981896877,10.625710149201446
