round,client_id,step,loss
1,0,0,1.351662278175354
1,0,1,0.6635960340499878
1,0,2,0.9441179037094116
1,0,3,1.9398032426834106
1,0,4,1.8425567150115967
1,0,5,1.2533632516860962
1,0,6,0.6432085633277893
1,0,7,2.109830617904663
1,0,8,1.4659825563430786
1,0,9,1.7881345748901367
1,0,10,1.6275471448898315
1,0,11,2.355036497116089
1,0,12,2.1599724292755127
1,0,13,1.9330217838287354
1,0,14,1.748024821281433
1,0,15,0.5639316439628601
1,0,16,0.7352272868156433
1,0,17,1.481255292892456
1,0,18,1.220469355583191
1,0,19,1.678743839263916
1,0,20,1.3445566892623901
1,0,21,1.9536179304122925
1,0,22,1.0115190744400024
1,0,23,1.7100684642791748
1,0,24,1.4641507863998413
1,0,25,1.5840696096420288
1,0,26,1.5511579513549805
1,0,27,1.3705424070358276
1,0,28,1.6107007265090942
1,0,29,1.6703730821609497
1,0,30,1.9216201305389404
1,0,31,2.117784023284912
1,0,32,2.2816200256347656
1,0,33,0.9513852596282959
1,0,34,2.1198198795318604
1,0,35,1.5343672037124634
1,0,36,1.812447428703308
1,0,37,1.8848904371261597
1,0,38,1.4493217468261719
1,0,39,1.5669838190078735
1,0,40,2.239741802215576
1,0,41,1.3083245754241943
1,0,42,1.9872304201126099
1,0,43,1.556858777999878
1,0,44,1.1369521617889404
1,0,45,1.990241289138794
1,0,46,0.27518361806869507
1,0,47,2.588557243347168
1,0,48,2.239464521408081
1,0,49,1.1075636148452759
1,0,50,0.8909826278686523
1,0,51,2.3320224285125732
1,0,52,1.6615893840789795
1,0,53,0.7343121767044067
1,0,54,1.6019307374954224
1,0,55,1.522819995880127
1,0,56,1.8695138692855835
1,0,57,1.7903252840042114
1,0,58,0.5060214996337891
1,0,59,0.9014955759048462
1,0,60,1.9571762084960938
1,0,61,2.4015607833862305
1,0,62,2.3355557918548584
1,0,63,1.5529208183288574
1,0,64,1.854012370109558
1,0,65,1.6242218017578125
1,0,66,1.3423930406570435
1,0,67,0.6884378790855408
1,0,68,1.9279206991195679
1,0,69,1.8607772588729858
1,0,70,1.8349647521972656
1,0,71,2.297506093978882
1,0,72,0.842150866985321
1,0,73,1.6934449672698975
1,0,74,1.5667670965194702
1,0,75,1.8150871992111206
1,0,76,1.804133653640747
1,0,77,1.3200281858444214
1,0,78,0.9064836502075195
1,0,79,1.1098504066467285
1,0,80,2.00321888923645
1,0,81,1.9424673318862915
1,0,82,1.6299127340316772
1,0,83,0.9523054361343384
1,0,84,1.6351261138916016
1,0,85,2.0714259147644043
1,0,86,1.9762156009674072
1,0,87,0.8701161742210388
1,0,88,1.2204807996749878
1,0,89,2.100606679916382
1,0,90,2.2466793060302734
1,0,91,1.6004948616027832
1,0,92,2.229579210281372
1,0,93,1.6282063722610474
1,0,94,2.148883819580078
1,0,95,1.765386700630188
1,0,96,1.9508116245269775
1,0,97,0.9255405068397522
1,0,98,2.2487010955810547
1,0,99,1.722544550895691
1,1,0,1.7370620965957642
1,1,1,1.8490171432495117
1,1,2,1.3782954216003418
1,1,3,0.3276136815547943
1,1,4,1.743980884552002
1,1,5,1.8156566619873047
1,1,6,1.7895220518112183
1,1,7,1.5367757081985474
1,1,8,1.5716456174850464
1,1,9,1.9615631103515625
1,1,10,2.2561635971069336
1,1,11,1.9325278997421265
1,1,12,1.3301352262496948
1,1,13,1.0673091411590576
1,1,14,2.0857884883880615
1,1,15,1.6755497455596924
1,1,16,1.745144009590149
1,1,17,1.1338787078857422
1,1,18,2.38364315032959
1,1,19,1.660056710243225
1,1,20,1.6041756868362427
1,1,21,1.5617693662643433
1,1,22,1.920193076133728
1,1,23,1.9964075088500977
1,1,24,2.113722324371338
1,1,25,0.5542401075363159
1,1,26,1.5973870754241943
1,1,27,1.4630935192108154
1,1,28,1.7991108894348145
1,1,29,0.6476016640663147
1,1,30,1.9235265254974365
1,1,31,1.4227639436721802
1,1,32,2.136573314666748
1,1,33,1.4979327917099
1,1,34,1.0541881322860718
1,1,35,2.7317564487457275
1,1,36,1.8310301303863525
1,1,37,1.9570420980453491
1,1,38,1.9619718790054321
1,1,39,1.7331119775772095
1,1,40,1.5048880577087402
1,1,41,1.619925856590271
1,1,42,1.6207420825958252
1,1,43,2.271094799041748
1,1,44,1.9417829513549805
1,1,45,1.5621408224105835
1,1,46,0.2799079418182373
1,1,47,1.2076032161712646
1,1,48,1.9148463010787964
1,1,49,1.664879322052002
1,1,50,0.582486093044281
1,1,51,1.6590192317962646
1,1,52,1.6381229162216187
1,1,53,2.2170238494873047
1,1,54,1.9396318197250366
1,1,55,0.7245311737060547
1,1,56,1.029065489768982
1,1,57,1.2277796268463135
1,1,58,1.7216017246246338
1,1,59,2.2015480995178223
