round,client_id,encrypt_time,plaintext_size,ciphertext_size,aggregate_time,broadcast_size
1,0,46.98004896193743,10725139,2342757108,126.82952786237001,10725139
1,1,47.038319632411,10725139,2342752303,126.82952786237001,10725139
1,2,46.86204454675317,10725139,2342744118,126.82952786237001,10725139
1,3,46.95509430766106,10725139,2342750145,126.82952786237001,10725139
2,0,47.41950809955597,10725139,2342746571,133.33663285523653,10725139
2,1,47.16138331964612,10725139,2342743035,133.33663285523653,10725139
2,2,46.776640709489584,10725139,2342739570,133.33663285523653,10725139
2,3,47.068462789058685,10725139,2342763168,133.33663285523653,10725139
3,0,47.86669107526541,10725139,2342756905,136.96065916121006,10725139
3,1,47.481107883155346,10725139,2342762743,136.96065916121006,10725139
3,2,47.37653777375817,10725139,2342792207,136.96065916121006,10725139
3,3,47.11796873807907,10725139,2342760514,136.96065916121006,10725139
