round,client_id,encrypt_time,plaintext_size,ciphertext_size,aggregate_time,broadcast_size
1,0,27.4381871689111,16871331,17179894784,175.65392467193305,16871331
1,1,24.944040590897202,16871331,17179894784,175.65392467193305,16871331
2,0,26.91730191744864,16871331,17179894784,171.31725330092013,16871331
2,1,24.823391996324062,16871331,17179894784,171.31725330092013,16871331
3,0,25.14755679666996,16871331,17179894784,173.1245359145105,16871333
3,1,23.775910248979926,16871333,17179894784,173.1245359145105,16871333
4,0,26.194544527679682,16871331,17179894784,172.1979947835207,16871331
4,1,24.053855450823903,16871331,17179894784,172.1979947835207,16871331
5,0,26.69591234624386,16871331,17179894784,177.0324050243944,16871333
5,1,25.162201715633273,16871331,17179894784,177.0324050243944,16871333
6,0,27.021531004458666,16871331,17179894784,178.8499257005751,16871331
6,1,25.40360484458506,16871331,17179894784,178.8499257005751,16871331
7,0,26.707354191690683,16871331,17179894784,168.04440988600254,16871331
7,1,25.285536581650376,16871331,17179894784,168.04440988600254,16871331
8,0,27.244408793747425,16871331,17179894784,183.72581943310797,16871333
8,1,25.41932885348797,16871331,17179894784,183.72581943310797,16871333
9,0,26.331553468480706,16871331,17179894784,174.73260804638267,16871333
9,1,24.603979220613837,16871331,17179894784,174.73260804638267,16871333
10,0,27.69466631114483,16871331,17179894784,180.74001164734364,16871331
10,1,24.908648120239377,16871331,17179894784,180.74001164734364,16871331
11,0,29.159036245197058,16871331,17179894784,194.3992230091244,16871331
11,1,26.850664293393493,16871331,17179894784,194.3992230091244,16871331
12,0,25.939686473459005,16871331,17179894784,167.49471989274025,16871331
12,1,24.008454909548163,16871331,17179894784,167.49471989274025,16871331
13,0,29.00702202320099,16871331,17179894784,192.11261241324246,16871331
13,1,26.83896277844906,16871331,17179894784,192.11261241324246,16871331
14,0,27.864781118929386,16871331,17179894784,192.10592108406126,16871333
14,1,26.034524716436863,16871331,17179894784,192.10592108406126,16871333
15,0,29.31562959961593,16871331,17179894784,190.5566555391997,16871331
15,1,26.968223789706826,16871331,17179894784,190.5566555391997,16871331
16,0,30.739402631297708,16871331,17179894784,200.19813540019095,16871331
16,1,28.484880059957504,16871331,17179894784,200.19813540019095,16871331
17,0,28.854909928515553,16871331,17179894784,183.42709726653993,16871331
17,1,26.62601296417415,16871331,17179894784,183.42709726653993,16871331
18,0,26.569804225116968,16871331,17179894784,170.12289728410542,16871331
18,1,24.512822026386857,16871331,17179894784,170.12289728410542,16871331
19,0,27.055965788662434,16871331,17179894784,173.26797113753855,16871331
19,1,24.639891853556037,16871331,17179894784,173.26797113753855,16871331
20,0,26.691253969445825,16871331,17179894784,177.59199510701,16871331
20,1,25.08581509627402,16871331,17179894784,177.59199510701,16871331
