round,client_id,steps,mean_loss,token_weighted_mean_loss,min_loss,max_loss,final_loss,final_moving_avg_loss,perplexity,supervised_tokens,mean_step_time,train_time
1,0,300,1.358588691999515,1.2947308705318616,0.14521737396717072,5.500517845153809,1.0138189792633057,1.3141658760607242,3.6500135157467586,6934,0.675373142256091,202.740478284657
1,1,300,1.360553570513924,1.4697661629774266,0.08297644555568695,6.007823944091797,2.2907843589782715,1.247804881632328,4.348218247765167,6097,0.6807186688979466,204.3451849464327
2,0,300,1.19290174352626,1.2063271201617904,0.08350983262062073,3.904608726501465,0.3936765789985657,0.9702073529362678,3.3411902980452695,6562,0.6780472985903422,203.54407306015491
2,1,300,1.1821463450292746,1.360737309031904,0.06290878355503082,3.9920477867126465,0.8565128445625305,1.2276665829122066,3.899067059600277,6841,0.6805818764058252,204.30092239938676
3,0,300,1.1441171208396554,1.2748828393097578,0.04343584552407265,4.020805835723877,0.7621692419052124,1.4316505551338197,3.578282151534992,6549,0.6791588994550208,203.8772137556225
3,1,300,1.141808538287878,1.2820580681567897,0.09716927260160446,4.200715065002441,1.2705031633377075,1.289892129600048,3.6040494775317793,6424,0.6810675785814723,204.44840160757303
4,0,300,1.0441661424189805,1.150134213741773,0.03421691805124283,3.8571784496307373,0.8038479089736938,0.9775381602346898,3.1586168110234736,6458,0.6782314389199019,203.59945696033537
4,1,300,1.0856819071186086,1.0738429176408322,0.027598315849900246,4.218229293823242,0.7501723170280457,1.2726259119808674,2.9266046180749683,6131,0.681865625369052,204.6894284002483
5,0,300,1.0560383785143495,1.1312089519899844,0.04521212354302406,4.385074138641357,0.3639390468597412,1.133828717842698,3.0994012633742356,5457,0.6782946419964234,203.62057136371732
5,1,300,1.084225797727704,1.2067893693254537,0.058814097195863724,3.922071695327759,1.5876648426055908,1.1911366790533067,3.34273511748442,6020,0.6808784764880935,204.39334895275533
6,0,300,1.0536485357334215,1.281619876318152,0.047358907759189606,4.960349082946777,0.19773609936237335,1.0701197676360608,3.6024705584246766,6107,0.6775851741184791,203.40484343096614
